Layer,Source Name,Type,Region,Domain,URL / Access Point,Alt Feed / RSS (if any),Speed,Trust Level,Paid / Free,Scraper Required,Notes (what to pull),Example Output: Intel Drop,Example Output: Analysis Follow-up
L0,Telegram OSINT Cluster (Generic),Telegram,Global,Military Ops / Breaking,https://telegram.org/,,Fast,Medium,Free,Yes,Set up Telegram scraper; track channel message text + media + timestamps,Contact reported near X; initial footage shows plume south of Y. Verification pending.,Geolocated clip suggests strike ~2km from Z; likely targeting supply node. Await official confirmation.
L0,Discord OSINT Servers (Generic),Discord,Global,OSINT / EW / AI,https://discord.com/,,Fast,Medium,Free,Yes,Monitor channels for links to primary sources; extract URLs for downstream fetchers,Early chatter points to EW interference reports in sector A.,Cross-validate with ADS-B anomalies and comms outage reports.
L0,X/Twitter Firehose (Lists),Social,Global,All,https://x.com/,,Fast,Medium,Free,Yes,Follow curated lists; capture tweets + links; de-dup & cluster by event,Multiple eyewitness accounts report UAV activity over City Q.,Thread consolidates sightings; compares with NOTAMs and ADS-B traces.
L1,Reuters,News Agency,Global,All,https://www.reuters.com/,https://www.reuters.com/my-news/feed/,Medium,High,Free,Light,"Headlines, story URLs, timestamps; pay attention to region tags",Reuters: Country X to acquire Y drones; contract value undisclosed.,Implication: shifts air denial calculus regionally; check tender portals next quarter.
L1,Associated Press (AP),News Agency,Global,All,https://apnews.com/,https://apnews.com/index.rss,Medium,High,Free,Light,Headlines and story text snippets; wire priority cues,AP: Govt announces partial mobilization in province K.,Signals internal strain; monitor logistics contracts and fuel imports.
L1,AFP,News Agency,Global,All,https://www.afp.com/en,,Medium,High,Paid,Light,"Headlines + summary; where accessible, extract ledes",AFP: Naval drills expanded to include EW scenarios.,Indicates training focus on jamming/spectrum control pre-deployment.
L1,NATO Press,Intergovernmental,Global,Defense / Security,https://www.nato.int/cps/en/natohq/press_releases.htm,,Medium,High,Free,Light,Press releases; statements; communiqués,NATO announces new air policing rotation on eastern flank.,Expect increased fighter sorties; track ADS-B for pattern shifts.
L1,United Nations News,Intergovernmental,Global,Diplomacy,https://news.un.org/en/,,Medium,High,Free,Light,Official UN press + SG statements,UN warns of worsening humanitarian corridors closure.,Tie with logistics convoys and fuel access constraints.
L1,World Bank,IFIs,Global,Geo‑Economics,https://www.worldbank.org/en/news,,Medium,High,Free,Light,"Country briefs, financing approvals",WB approves $500m energy reform loan to Country H.,Likely tariff adjustments; watch protest risk and subsidy rollbacks.
L1,IMF Press Center,IFIs,Global,Geo‑Economics,https://www.imf.org/en/News,,Medium,High,Free,Light,"Press releases, staff-level agreements",IMF reaches SLA with Country P; FX reforms slated.,Expect devaluation window; monitor import data and fuel prices.
L1,Asian Development Bank (ADB) News,IFIs,Asia,Geo‑Economics,https://www.adb.org/news,,Medium,High,Free,Light,Project approvals; policy notes,ADB funds port upgrade in Country S.,Capacity expansion suggests future naval dual-use potential.
L1,US Department of Defense Releases,Ministry,Americas,Defense,https://www.defense.gov/News/Releases/,,Medium,High,Free,Light,"Contracts, deployments, policy notes",DoD awards EW systems contract to Vendor V.,Check SAM.gov for contract line items; assess export spillover.
L1,UK Ministry of Defence News,Ministry,Europe,Defense,https://www.gov.uk/government/organisations/ministry-of-defence,,Medium,High,Free,Light,Press releases; procurement updates,UK MoD confirms additional air defence batteries to Region E.,Expect training rotations; watch RAF movements.
L1,Israel MoD / Haaretz Diplomacy & Defense,Ministry/Media,MENA,Defense,https://mod.gov.il/,https://www.haaretz.com/news/diplomacy-defense,Medium,High,Free,Light,Official statements; investigative coverage,MoD files hint at new UAV EW payload trials.,Doctrine shift toward standoff jamming; track exercises.
L1,Pakistan ISPR,Military PR,South Asia,Defense,https://ispr.gov.pk/,,Medium,High,Free,Light,Operational updates; training notices,ISPR: joint exercises with Country Y commence.,Review NOTAMs and troop movement indicators.
L1,Iran IRNA (English),State Media,MENA,Diplomacy/Defense,https://en.irna.ir/,,Medium,Medium,Free,Light,Official lines; government narratives,IRNA: unveiling of upgraded UAV variants.,Cross-check specs with parade imagery and procurement hints.
L1,Russia Ministry of Defence,Ministry,Europe,Defense,http://eng.mil.ru/en/index.htm,,Medium,Medium,Free,Light,Daily bulletins; imagery,MoD reports counter-UAV measures deployment.,Evaluate with independent battlefield reports.
L1,China MND News,Ministry,East Asia,Defense,http://eng.mod.gov.cn/News/index.htm,,Medium,High,Free,Light,Exercises; white papers; statements,PLA holds EW drills in Theater C.,Map proximity to disputed airspace; anticipate ADIZ notices.
L1,Turkey Ministry of National Defence,Ministry,MENA/Europe,Defense,https://www.msb.gov.tr/,,Medium,High,Free,Light,Press statements; ops summaries,MSB announces cross-border operation window.,Expect UAV loitering; monitor NOTAMs and border traffic.
L1,CSIS,Think Tank,Global,Security / Geo‑Econ,https://www.csis.org/,,Slow,Very High,Free,Light,"Reports, commentaries, events",CSIS brief: semiconductor choke points in conflict scenarios.,Forecast: sanctions leverage pathways; track export controls.
L1,IISS,Think Tank,Global,Security,https://www.iiss.org/publications/,,Slow,Very High,Paid,Light,Dossiers; journals; paywalled reports,IISS Strategic Dossier outlines EW trends 2025.,Use excerpts; link to public summaries; avoid paywall text.
L1,SIPRI,Think Tank,Global,Arms / Data,https://www.sipri.org/publications,https://www.sipri.org/rss,Slow,Very High,Free,Light,Arms transfers database; yearbooks; policy briefs,SIPRI: uptick in UAV exports to Region N.,Correlate with customs data and sanctions filings.
L1,RAND Corporation,Think Tank,Global,Defense,https://www.rand.org/pubs.html,,Slow,Very High,Free,Light,Research reports; briefs; toolkits,RAND paper models EW resilience under contested spectrum.,Apply to current theater; note doctrine implications.
L1,Brookings Institution,Think Tank,Global,Geo‑Econ / Policy,https://www.brookings.edu/,,Slow,High,Free,Light,Reports; blogs; events,Brookings analysis on sanctions efficacy timeline.,Project lag effects into import substitution curves.
L1,Carnegie Endowment,Think Tank,Global,Security / Policy,https://carnegieendowment.org/,,Slow,High,Free,Light,Policy papers; region programs,Carnegie: Gulf security architecture realignment.,Track basing rights and defense MOUs.
L2,JSTOR (Open Content),Academic,Global,Research,https://www.jstor.org/open/,,Slow,Very High,Free,Light,Open-access academic papers,Paper traces EW escalation ladders historically.,Extract models applicable to current theaters.
L2,SSRN,Academic,Global,Working Papers,https://www.ssrn.com/index.cfm/en/,,Slow,High,Free,Light,Working papers; early insights,Draft: UAV countermeasures cost-imposition strategies.,Flag for expert review; awaiting peer feedback.
L2,Procurement – SAM.gov,Gov Procurement,US,Contracts,https://sam.gov/,,Medium,High,Free,Yes,Solicitations; awards; notices,Award for EW pods detected; vendor + NAICS logged.,Cross-link to corporate filings; watch follow-on mods.
L2,EU Tenders (TED),Gov Procurement,EU,Contracts,https://ted.europa.eu/,,Medium,High,Free,Yes,Tenders; awards; CPV codes,Member state seeks ISR platforms; delivery timelines noted.,Monitor budget votes; anticipate delays.
L2,Pakistan PPRA,Gov Procurement,South Asia,Contracts,https://www.ppra.org.pk/,,Medium,High,Free,Yes,Public procurement notices,Defense-adjacent comms gear tender published.,Check specs vs import records.
L2,UK Contracts Finder,Gov Procurement,Europe,Contracts,https://www.contractsfinder.service.gov.uk/,,Medium,High,Free,Yes,Notices; awards; updates,MoD communications kit multi-year framework posted.,Map suppliers and delivery cadence.
L2,Sanctions – OFAC SDN,Sanctions,US,Finance/Trade,https://ofac.treasury.gov/sanctions-lists/sdn-list-data-formats,,Medium,Very High,Free,Light,SDN list CSV/JSON feeds,Vendor added to SDN; disrupts supply chain inputs.,Alert: reroute procurement monitoring.
L2,EU Sanctions Map,Sanctions,EU,Finance/Trade,https://www.sanctionsmap.eu/,,Medium,Very High,Free,Light,Interactive sanctions database,New designations on UAV components exporters.,Update risk model for imports.
L2,UK HMT Consolidated List,Sanctions,UK,Finance/Trade,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1168474/Consolidated_List.xlsx,,Medium,Very High,Free,Light,Consolidated sanctions XLS feed,Supplier listed; compliance alert for clients.,Trigger KYC re-checks.
L2,ADS-B Exchange,Aviation Tracking,Global,Aviation,https://www.adsbexchange.com/,,Fast,Medium,Free,Yes,Military flight tracking (public),Spike in ISR flights over sector R.,Pair with NOTAMs and MoD pressers.
L2,MarineTraffic (Public),Maritime Tracking,Global,Maritime,https://www.marinetraffic.com/,,Fast,Medium,Free,Yes,AIS ship positions (limited free),Fuel convoy positions suggest buildup.,Cross with satellite passes and port notices.
L2,VesselFinder,Maritime Tracking,Global,Maritime,https://www.vesselfinder.com/,,Fast,Medium,Free,Yes,AIS lookups; basic analytics,Unusual loitering near restricted waters.,Flag for imagery tasking.
L3,Wayback Machine,Archive,Global,Research,https://web.archive.org/,,Slow,High,Free,Light,Recover deleted press pages & PDFs,Recovered MoD release referencing trials.,Use for timeline reconstruction.
L3,Archive of Public Records (CourtListener),Legal,US,Legal/Filings,https://www.courtlistener.com/,,Slow,High,Free,Light,"Court filings, dockets",Export controls case reveals supplier networks.,Mine exhibits for supplier names.
L3,OpenCorporates,Corporate Data,Global,Companies,https://opencorporates.com/,,Medium,High,Free,Light,Company registries; directors; linkages,Shell vendor linked to sanctioned entity.,Map ownership graph.
L1,UN General Assembly (UNGA) Press,Intergovernmental,Global,Diplomacy,https://www.un.org/en/ga/,,Medium,High,Free,Light,Schedules; resolutions; press,UNGA sidelines: defense MOUs emerging.,Track bilateral readouts.
L1,SCO Secretariat News,Intergovernmental,Eurasia,Diplomacy,https://eng.sectsco.org/news/,,Medium,High,Free,Light,Communiqués; event news,SCO communiqué hints at joint drills.,Follow with tender signals.
L1,BRICS Official,Intergovernmental,Global South,Economics/Diplomacy,https://brics2024.gov.br/en/,,Medium,Medium,Free,Light,Summit declarations; ministerials,Payments integration note resurfaces.,Assess de-dollarization claims vs actual flows.
L2,UN Comtrade,Trade Data,Global,Geo‑Economics,https://comtradeplus.un.org/,,Slow,High,Free,Yes,Trade flows by HS code,HS 8806 spike to Country Z.,Potential UAV component surge.
L2,ITC Trade Map (limited),Trade Data,Global,Geo‑Economics,https://www.trademap.org/,,Slow,High,Free,Yes,Bilateral export/import stats,Parts-for-UAV anomalies vs prior year.,Cross-check with customs bulletins.
L1,Anadolu Agency (Turkiye),State-linked Media,MENA/Europe,News,https://www.aa.com.tr/en,,Medium,Medium,Free,Light,Official lines; rapid regional reports,AA: deployment notice to border sector.,Watch MSB updates and NOTAMs.
L1,IRNA (English),State Media,MENA,News,https://en.irna.ir/,,Medium,Medium,Free,Light,Gov positions; program reveals,IRNA: new engine variant unveiled.,Compare with patent filings & parade shots.
L1,TASS (English),State Media,Europe,News,https://tass.com/,,Medium,Medium,Free,Light,Official Russian narratives,TASS: EW brigade formed in district D.,Track unit IDs and equipment rollouts.
L1,Xinhua (English),State Media,East Asia,News,https://www.xinhuanet.com/english/,,Medium,Medium,Free,Light,Official Chinese narratives,Xinhua: satellite launch with dual-use payload.,Check NOTAMs and launch windows.
L1,EU Council Press,Intergovernmental,Europe,Policy,https://www.consilium.europa.eu/en/press/press-releases/,,Medium,High,Free,Light,Press releases; conclusions,Council approves arms support tranche.,Monitor implementation notes.
L1,European External Action Service (EEAS),Intergovernmental,Europe,Diplomacy,https://www.eeas.europa.eu/en,,Medium,High,Free,Light,Statements; readouts,EEAS condemns EW interference event.,Correlate with local outage maps.
L2,Google Patents,Patents,Global,R&D,https://patents.google.com/,,Slow,High,Free,Light,Patent filings on comms/UAV subsystems,Filing indicates new SDR-based jammer.,Monitor assignees and continuations.
L2,ICAO NOTAM (via national AIS portals),Aviation Notice,Global,Aviation,https://www.icao.int/,,Fast,High,Free,Yes,NOTAM references via country portals,New temporary restricted airspace declared.,Cross with ADS-B and MoD announcements.
L2,Sentinel Hub EO Browser,Satellite,Global,Imagery,https://apps.sentinel-hub.com/eo-browser/,,Medium,High,Free,Yes,Task views; collect pre/post imagery where public,Imagery shows scorch marks near depot.,Qualify with local reporting before posting.
L2,Jamestown Foundation,Think Tank,US,Security/Eurasia,https://jamestown.org/programs/edm/,,Slow,High,Free,No,EDM articles; analyses,"""EDM flags paramilitary integration trend.""","""Expect hybrid ops; watch legal changes."""
L2,Middle East Institute (MEI),Think Tank,MENA,Policy/Security,https://www.mei.edu/publications,,Slow,High,Free,No,Analyses ; briefs,"""MEI: Gulf air defense integration timeline.""","""Suggests sensor fusion roadmap; check vendor MOUs."""
L2,Atlantic Council,Think Tank,US,Geo-Econ/Security,https://www.atlanticcouncil.org/,,Slow,High,Free,No,Reports ; trackers,"""AC: sanctions enforcement gaps in sector S.""","""Aligns with customs leak trails; refine watchlist."""
L2,Carnegie Moscow/CEIP,Think Tank,Global,Eurasia/Security,https://carnegieendowment.org/region/eurasia,,Slow,High,Free,No,Analyses ; events,"""Carnegie: manpower policy shift implications.""","""Operational endurance forecast adjusts by quarter."""
L2,Chatham House,Think Tank,Europe,Policy,https://www.chathamhouse.org/topics,https://www.chathamhouse.org/rss,Slow,High,Free,No,Briefings ; papers,"""CH brief on Red Sea security lanes.""","""Insurance premiums + convoy timings reflect risk repricing."""
L2,Lowy Institute,Think Tank,Asia-Pacific,Policy/Security,https://www.lowyinstitute.org/publications,,Slow,High,Free,No,Reports ; Indo-Pacific focus,"""Lowy: ADIZ friction trends.""","""Expect crisis signaling; watch intercept data."""
L2,Hudson Institute,Think Tank,US,Defense/Policy,https://www.hudson.org/defense,,Slow,High,Free,No,Defense analyses,"""Hudson: spectrum dominance doctrine update.""","""Adoption curve favors SDR vendors; see patent filings."""
L2,SIPRI Arms Transfers DB,Think Tank,Global,Arms/Data,https://www.sipri.org/databases/armstransfers,,Slow,Very High,Free,No,Database; exports/imports,"""SIPRI: spike in HS 8806 category to country Z.""","""Correlate with customs + sanctions to trace end-users."""
L2,RAND Arroyo/Project Air Force,Think Tank,US,Defense Research,https://www.rand.org/topics/air-warfare.html,,Slow,Very High,Free,No,Service-specific research,"""RAF paper on EW survivability.""","""Feed into C-UAS tactics notes."""
L2,EU ISS,Think Tank,EU,Security/Policy,https://www.iss.europa.eu/publications,,Slow,High,Free,No,Briefs ; reports,"""EUISS brief on hybrid threats.""","""Points to cable/vsat vulnerabilities—monitor outage spikes."""
L2,Crisis Group,NGO,Global,Conflict,https://www.crisisgroup.org/latest-updates,,Slow,High,Free,No,Alerts ; reports,"""Alert: escalation risk in corridor Y.""","""Advise caution on civilian routes; watch fuel deliveries."""
L2,Human Rights Watch,NGO,Global,Humanitarian,https://www.hrw.org/news,,Slow,High,Free,No,Reports ; news,"""HRW documents strike pattern near urban core.""","""International attention → political pressure; expect UNHRC moves."""
L2,CourtListener/RECAP,Legal,US,Filings,https://www.courtlistener.com/,,Slow,High,Free,No,Export control cases; sanctions,"""New indictment on illicit components route.""","""Exhibits list supplier nets; add to watchlist."""
L2,OpenSanctions,Data,Global,Sanctions Data,https://www.opensanctions.org/datasets/,,Medium,High,Free,No,Sanctions datasets,"""New entity listed with dual-use parts.""","""Update procurement risk model + alerts."""
L2,OpenCorporates,Data,Global,Corporate Graph,https://opencorporates.com/,,Medium,High,Free,No,Directors ; shell links,"""Common directors across vendor cluster P.""","""Flag beneficial ownership risks; cross with sanctions."""
L2,UN Comtrade API,Data,Global,Trade,https://comtradeplus.un.org/,,Slow,High,Free,Yes,HS codes + flows,"""HS 8532/8533 uptick to Y.""","""Potential EW components—triangulate with patent assignees."""
L2,ImportYeti,Data,Global,Shipping Bills,https://www.importyeti.com/,,Slow,Medium,Free,Yes,B/L data for companies,"""Shipments of RF components to firm N rising.""","""Supply surge aligns with field sightings—watch export controls."""
L2,SAM.gov (watch OTAs),Gov Procurement,US,Contracts,https://sam.gov/,,Medium,High,Free,Yes,Solicitations + awards,"""OTA for counter-UAS prototype posted.""","""Accelerates fielding; vendor ecosystem to expand."""
L2,TED (EU Tenders),Gov Procurement,EU,Contracts,https://ted.europa.eu/,,Medium,High,Free,Yes,Tenders + awards,"""Member state seeks ECM pods.""","""Likely integrated on legacy fighters; track delivery."""
